subject,accuracy,time,accuracy_embedding,time_embedding
S110,68.54838709677419,79.21148633956909,70.6989247311828,40.67435002326965
S111,83.33333333333334,79.81534743309021,81.98924731182797,39.605836391448975
S112,84.94623655913979,74.13975811004639,82.79569892473118,38.48391127586365
S113,84.94623655913979,74.71253252029419,82.25806451612904,40.32775545120239
S114,89.24731182795699,79.71394562721252,84.94623655913979,40.2818500995636
S115,79.3010752688172,74.53741765022278,78.2258064516129,38.851452350616455
S116,82.52688172043011,74.71833777427673,82.52688172043011,40.17951703071594
S117,81.45161290322581,74.19860553741455,80.10752688172043,39.62242412567139
S118,75.26881720430107,72.08318138122559,71.7741935483871,38.17504668235779
S119,70.6989247311828,72.61166071891785,69.89247311827957,40.91353249549866
S120,89.51612903225806,77.92343044281006,91.66666666666666,44.140013456344604
S121,84.94623655913979,86.36668634414673,82.25806451612904,45.42855095863342
S122,80.76923076923077,82.94633030891418,77.43589743589745,46.09422063827515
S123,72.31182795698925,84.64671564102173,72.84946236559139,45.38988447189331
S124,74.46236559139786,79.82385230064392,75.0,42.559154748916626
S125,56.451612903225815,78.67557621002197,55.107526881720425,36.66546893119812
S126,75.26881720430107,73.87516331672668,75.80645161290323,41.60958790779114
S127,85.75268817204301,74.45234823226929,84.13978494623656,40.87173581123352
S128,69.6236559139785,78.71249747276306,68.81720430107528,43.854438066482544
S129,78.76344086021506,75.2288727760315,79.03225806451613,37.52119827270508
S130,69.89795918367348,73.84500336647034,68.36734693877551,39.54188108444214
S131,66.66666666666666,74.37241435050964,69.35483870967742,36.26801657676697
S132,70.6989247311828,78.6513283252716,70.43010752688173,41.17336678504944
S133,74.46236559139786,79.4241726398468,72.84946236559139,42.93128705024719
S134,78.49462365591397,79.64941787719727,77.15053763440861,40.34963822364807
