subject,accuracy,time,accuracy_embedding,time_embedding
S115,98.38709677419355,8.66693377494812,100.0,3.668698310852051
S116,98.38709677419355,8.625593423843384,98.38709677419355,3.6182055473327637
S117,100.0,8.568333864212036,96.7741935483871,3.5619091987609863
S118,96.7741935483871,8.530088186264038,93.54838709677419,3.636798620223999
S119,95.3125,8.525572538375854,95.3125,3.5971055030822754
S120,98.38709677419355,8.59806776046753,96.7741935483871,3.541419744491577
S121,90.32258064516128,8.579628467559814,83.87096774193549,3.5310988426208496
S122,90.0,8.613812446594238,88.33333333333333,3.4388742446899414
S123,96.7741935483871,8.624165534973145,100.0,3.541243553161621
S124,100.0,8.551121950149536,100.0,3.4914073944091797
S125,70.96774193548387,8.566572427749634,62.903225806451616,3.703923463821411
S126,96.7741935483871,8.487918615341187,100.0,3.6424498558044434
S127,95.16129032258065,8.611111879348755,95.16129032258065,3.482856035232544
S128,98.38709677419355,8.549825429916382,96.7741935483871,3.4086825847625732
S129,96.7741935483871,8.597578525543213,98.38709677419355,3.553239583969116
S130,66.17647058823529,8.508430480957031,66.17647058823529,3.5724878311157227
S131,95.16129032258065,8.630638360977173,91.93548387096774,3.7793846130371094
S132,95.16129032258065,8.481296062469482,91.93548387096774,3.3268063068389893
S133,100.0,8.531068801879883,100.0,3.7367494106292725
S134,96.7741935483871,8.616662740707397,96.7741935483871,3.617607831954956
